ID;floor_ID;resource_ID;name;type;x;y;width;height;radius;color;opacity
d6000000-0000-4000-8000-000000000206;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000206;Berlin Demo Desk 6;DESK;386;81;124;91;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000207;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000207;Berlin Demo Desk 7;DESK;572;120;124;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000208;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000208;Berlin Demo Desk 8;DESK;701;120;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000209;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000209;Berlin Demo Desk 9;DESK;733;183;91;123;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000210;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000210;Berlin Demo Desk 10;DESK;386;177;124;92;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000211;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000211;Berlin Demo Desk 11;DESK;387;375;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000221;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000221;Berlin Demo Meeting Room 1;ROOM;943;27;493;540;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000222;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000222;Berlin Demo Meeting Room 2;ROOM;28;537;294;237;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000223;40000000-0000-4000-8000-000000000002;d5000000-0000-4000-8000-000000000223;Berlin Demo Meeting Room 3;ROOM;338;552;281;221;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000241;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000241;Berlin Parking P01;PARKING;55;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000242;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000242;Berlin Parking P02;PARKING;205;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000243;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000243;Berlin Parking P03;PARKING;355;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000244;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000244;Berlin Parking P04;PARKING;505;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000245;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000245;Berlin Parking P05;PARKING;655;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000246;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000246;Berlin Parking P06;PARKING;805;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000247;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000247;Berlin Parking P07;PARKING;55;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000248;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000248;Berlin Parking P08;PARKING;205;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000249;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000249;Berlin Parking P09;PARKING;355;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000250;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000250;Berlin Parking P10;PARKING;505;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000251;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000251;Berlin Parking P11;PARKING;655;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000252;d4000000-0000-4000-8000-000000000012;d5000000-0000-4000-8000-000000000252;Berlin Parking P12;PARKING;805;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000301;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000301;Warsaw Demo Desk 1;DESK;34;31;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000302;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000302;Warsaw Demo Desk 2;DESK;163;31;121;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000303;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000303;Warsaw Demo Desk 3;DESK;34;263;123;94;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000304;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000304;Warsaw Demo Desk 4;DESK;284;208;92;122;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000305;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000305;Warsaw Demo Desk 5;DESK;34;362;123;90;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000306;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000306;Warsaw Demo Desk 6;DESK;386;81;124;91;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000307;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000307;Warsaw Demo Desk 7;DESK;572;120;124;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000308;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000308;Warsaw Demo Desk 8;DESK;701;120;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000309;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000309;Warsaw Demo Desk 9;DESK;733;183;91;123;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000310;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000310;Warsaw Demo Desk 10;DESK;386;177;124;92;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000311;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000311;Warsaw Demo Desk 11;DESK;387;375;123;60;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000321;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000321;Warsaw Demo Meeting Room 1;ROOM;943;27;493;540;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000322;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000322;Warsaw Demo Meeting Room 2;ROOM;28;537;294;237;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000323;40000000-0000-4000-8000-000000000003;d5000000-0000-4000-8000-000000000323;Warsaw Demo Meeting Room 3;ROOM;338;552;281;221;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000341;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000341;Warsaw Parking P01;PARKING;55;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000342;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000342;Warsaw Parking P02;PARKING;205;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000343;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000343;Warsaw Parking P03;PARKING;355;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000344;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000344;Warsaw Parking P04;PARKING;505;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000345;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000345;Warsaw Parking P05;PARKING;655;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000346;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000346;Warsaw Parking P06;PARKING;805;75;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000347;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000347;Warsaw Parking P07;PARKING;55;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000348;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000348;Warsaw Parking P08;PARKING;205;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000349;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000349;Warsaw Parking P09;PARKING;355;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000350;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000350;Warsaw Parking P10;PARKING;505;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000351;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000351;Warsaw Parking P11;PARKING;655;370;135;155;8;#0064d9;0.25
d6000000-0000-4000-8000-000000000352;d4000000-0000-4000-8000-000000000013;d5000000-0000-4000-8000-000000000352;Warsaw Parking P12;PARKING;805;370;135;155;8;#0064d9;0.25
