ID;floor_ID;type;code;name;capacity;roomType;workplaceType;monitorCount;active
d5000000-0000-4000-8000-000000000122;40000000-0000-4000-8000-000000000001;ROOM;DEMO-R2;Hannover Demo Meeting Room 2;4;MEETING;;0;true
d5000000-0000-4000-8000-000000000123;40000000-0000-4000-8000-000000000001;ROOM;DEMO-R3;Hannover Demo Meeting Room 3;3;MEETING;;0;true
d5000000-0000-4000-8000-000000000141;d4000000-0000-4000-8000-000000000011;PARKING;P01;Hannover Parking P01;1;;;0;true
d5000000-0000-4000-8000-000000000142;d4000000-0000-4000-8000-000000000011;PARKING;P02;Hannover Parking P02;1;;;0;true
d5000000-0000-4000-8000-000000000143;d4000000-0000-4000-8000-000000000011;PARKING;P03;Hannover Parking P03;1;;;0;true
d5000000-0000-4000-8000-000000000144;d4000000-0000-4000-8000-000000000011;PARKING;P04;Hannover Parking P04;1;;;0;true
d5000000-0000-4000-8000-000000000145;d4000000-0000-4000-8000-000000000011;PARKING;P05;Hannover Parking P05;1;;;0;true
d5000000-0000-4000-8000-000000000146;d4000000-0000-4000-8000-000000000011;PARKING;P06;Hannover Parking P06;1;;;0;true
d5000000-0000-4000-8000-000000000147;d4000000-0000-4000-8000-000000000011;PARKING;P07;Hannover Parking P07;1;;;0;true
d5000000-0000-4000-8000-000000000148;d4000000-0000-4000-8000-000000000011;PARKING;P08;Hannover Parking P08;1;;;0;true
d5000000-0000-4000-8000-000000000149;d4000000-0000-4000-8000-000000000011;PARKING;P09;Hannover Parking P09;1;;;0;true
d5000000-0000-4000-8000-000000000150;d4000000-0000-4000-8000-000000000011;PARKING;P10;Hannover Parking P10;1;;;0;true
d5000000-0000-4000-8000-000000000151;d4000000-0000-4000-8000-000000000011;PARKING;P11;Hannover Parking P11;1;;;0;true
d5000000-0000-4000-8000-000000000152;d4000000-0000-4000-8000-000000000011;PARKING;P12;Hannover Parking P12;1;;;0;true
d5000000-0000-4000-8000-000000000201;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D1;Berlin Demo Desk 1;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000202;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D2;Berlin Demo Desk 2;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000203;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D3;Berlin Demo Desk 3;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000204;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D4;Berlin Demo Desk 4;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000205;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D5;Berlin Demo Desk 5;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000206;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D6;Berlin Demo Desk 6;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000207;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D7;Berlin Demo Desk 7;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000208;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D8;Berlin Demo Desk 8;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000209;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D9;Berlin Demo Desk 9;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000210;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D10;Berlin Demo Desk 10;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000211;40000000-0000-4000-8000-000000000002;WORKPLACE;DEMO-D11;Berlin Demo Desk 11;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000221;40000000-0000-4000-8000-000000000002;ROOM;DEMO-R1;Berlin Demo Meeting Room 1;8;MEETING;;0;true
d5000000-0000-4000-8000-000000000222;40000000-0000-4000-8000-000000000002;ROOM;DEMO-R2;Berlin Demo Meeting Room 2;4;MEETING;;0;true
d5000000-0000-4000-8000-000000000223;40000000-0000-4000-8000-000000000002;ROOM;DEMO-R3;Berlin Demo Meeting Room 3;3;MEETING;;0;true
d5000000-0000-4000-8000-000000000241;d4000000-0000-4000-8000-000000000012;PARKING;P01;Berlin Parking P01;1;;;0;true
d5000000-0000-4000-8000-000000000242;d4000000-0000-4000-8000-000000000012;PARKING;P02;Berlin Parking P02;1;;;0;true
d5000000-0000-4000-8000-000000000243;d4000000-0000-4000-8000-000000000012;PARKING;P03;Berlin Parking P03;1;;;0;true
d5000000-0000-4000-8000-000000000244;d4000000-0000-4000-8000-000000000012;PARKING;P04;Berlin Parking P04;1;;;0;true
d5000000-0000-4000-8000-000000000245;d4000000-0000-4000-8000-000000000012;PARKING;P05;Berlin Parking P05;1;;;0;true
d5000000-0000-4000-8000-000000000246;d4000000-0000-4000-8000-000000000012;PARKING;P06;Berlin Parking P06;1;;;0;true
d5000000-0000-4000-8000-000000000247;d4000000-0000-4000-8000-000000000012;PARKING;P07;Berlin Parking P07;1;;;0;true
d5000000-0000-4000-8000-000000000248;d4000000-0000-4000-8000-000000000012;PARKING;P08;Berlin Parking P08;1;;;0;true
d5000000-0000-4000-8000-000000000249;d4000000-0000-4000-8000-000000000012;PARKING;P09;Berlin Parking P09;1;;;0;true
d5000000-0000-4000-8000-000000000250;d4000000-0000-4000-8000-000000000012;PARKING;P10;Berlin Parking P10;1;;;0;true
d5000000-0000-4000-8000-000000000251;d4000000-0000-4000-8000-000000000012;PARKING;P11;Berlin Parking P11;1;;;0;true
d5000000-0000-4000-8000-000000000252;d4000000-0000-4000-8000-000000000012;PARKING;P12;Berlin Parking P12;1;;;0;true
d5000000-0000-4000-8000-000000000301;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D1;Warsaw Demo Desk 1;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000302;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D2;Warsaw Demo Desk 2;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000303;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D3;Warsaw Demo Desk 3;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000304;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D4;Warsaw Demo Desk 4;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000305;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D5;Warsaw Demo Desk 5;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000306;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D6;Warsaw Demo Desk 6;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000307;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D7;Warsaw Demo Desk 7;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000308;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D8;Warsaw Demo Desk 8;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000309;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D9;Warsaw Demo Desk 9;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000310;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D10;Warsaw Demo Desk 10;1;;FLEX;1;true
d5000000-0000-4000-8000-000000000311;40000000-0000-4000-8000-000000000003;WORKPLACE;DEMO-D11;Warsaw Demo Desk 11;1;;FLEX;2;true
d5000000-0000-4000-8000-000000000321;40000000-0000-4000-8000-000000000003;ROOM;DEMO-R1;Warsaw Demo Meeting Room 1;8;MEETING;;0;true
d5000000-0000-4000-8000-000000000322;40000000-0000-4000-8000-000000000003;ROOM;DEMO-R2;Warsaw Demo Meeting Room 2;4;MEETING;;0;true
d5000000-0000-4000-8000-000000000323;40000000-0000-4000-8000-000000000003;ROOM;DEMO-R3;Warsaw Demo Meeting Room 3;3;MEETING;;0;true
d5000000-0000-4000-8000-000000000341;d4000000-0000-4000-8000-000000000013;PARKING;P01;Warsaw Parking P01;1;;;0;true
d5000000-0000-4000-8000-000000000342;d4000000-0000-4000-8000-000000000013;PARKING;P02;Warsaw Parking P02;1;;;0;true
d5000000-0000-4000-8000-000000000343;d4000000-0000-4000-8000-000000000013;PARKING;P03;Warsaw Parking P03;1;;;0;true
d5000000-0000-4000-8000-000000000344;d4000000-0000-4000-8000-000000000013;PARKING;P04;Warsaw Parking P04;1;;;0;true
d5000000-0000-4000-8000-000000000345;d4000000-0000-4000-8000-000000000013;PARKING;P05;Warsaw Parking P05;1;;;0;true
d5000000-0000-4000-8000-000000000346;d4000000-0000-4000-8000-000000000013;PARKING;P06;Warsaw Parking P06;1;;;0;true
d5000000-0000-4000-8000-000000000347;d4000000-0000-4000-8000-000000000013;PARKING;P07;Warsaw Parking P07;1;;;0;true
d5000000-0000-4000-8000-000000000348;d4000000-0000-4000-8000-000000000013;PARKING;P08;Warsaw Parking P08;1;;;0;true
d5000000-0000-4000-8000-000000000349;d4000000-0000-4000-8000-000000000013;PARKING;P09;Warsaw Parking P09;1;;;0;true
d5000000-0000-4000-8000-000000000350;d4000000-0000-4000-8000-000000000013;PARKING;P10;Warsaw Parking P10;1;;;0;true
d5000000-0000-4000-8000-000000000351;d4000000-0000-4000-8000-000000000013;PARKING;P11;Warsaw Parking P11;1;;;0;true
d5000000-0000-4000-8000-000000000352;d4000000-0000-4000-8000-000000000013;PARKING;P12;Warsaw Parking P12;1;;;0;true
